group,pair_kind,source,target,sample_count,valid_fraction,source_range_p95_p05,target_range_p95_p05,amplitude_ratio_target_over_source,corr_zero_lag,best_lag_seconds,corr_best_lag,best_abs_lag_seconds,corr_best_abs_lag,source_step95_standardized,target_step95_standardized,step95_ratio_target_over_source,measurement_only,stage_gate,flags
shoulders,stage2_shoulder_hint,mp_body.left_shoulder.z,fused.left.shoulder.z,1322,1.0,4.286901205778122,1.5835540771484204,0.3693936484969653,0.21927192511402258,-0.17559058964252472,0.6296537876316022,-0.17559058964252472,0.6296537876316022,0.05701502667445793,0.09637593250324347,1.6903602107129903,False,fail,low_correlation;lag_over_100ms
shoulders,stage2_shoulder_hint,mp_body.left_shoulder_lift_from_hips,fused.left.shoulder_lift_from_pelvis,1322,1.0,4.285522431600839,1.5835540771484418,0.36951249291604144,0.017640883057744885,-0.17559058964252472,0.4947579110703168,0.3219160810112953,-0.4950894642686684,0.05703807496829208,0.09637593250324217,1.6896771596309714,False,fail,low_correlation;lag_over_100ms
shoulders,stage2_shoulder_hint,mp_body.right_shoulder.z,fused.right.shoulder.z,1322,1.0,3.2401393353939056,1.597901153564436,0.4931581602400992,0.2536032094590753,-0.17559058964252472,0.7703452653493839,-0.17559058964252472,0.7703452653493839,0.05918449911739712,0.09618143803407381,1.6251119713506461,False,fail,lag_over_100ms
shoulders,stage2_shoulder_hint,mp_body.right_shoulder_lift_from_hips,fused.right.shoulder_lift_from_pelvis,1322,1.0,3.2403880439233035,1.5979011535644574,0.49312030902008785,0.07894085386289294,-0.17559058964252472,0.6908185392022199,-0.17559058964252472,0.6908185392022199,0.059155160179104854,0.09618143803407253,1.6259179713631529,False,fail,lag_over_100ms
torso,output_verification,fused.torso_height,manny.torso_height,1322,1.0,0.9966827626471968,0.0,0.0,nan,nan,nan,nan,nan,0.07449314218398326,0.0,0.0,False,fail,flat_target;low_correlation;amplitude_mismatch
torso,stage1_torso_hint,mp_body.shoulder_mid.z,fused.chest.loc.z,1322,1.0,3.2810448110103607,0.9966827626471968,0.30376993307210565,0.25567296320380856,-0.17559058964252472,0.726431462630351,0.3219160810112953,-0.7943869731365284,0.06410045925014982,0.07449314218398326,1.1621311774581264,False,fail,lag_over_100ms;possible_sign_or_axis_inversion
torso,stage1_torso_hint,mp_body.torso_forward_proxy,fused.torso_forward_proxy,1322,1.0,19.741431787881563,6.74840114936884,0.3418394988711711,0.5733804806543011,-0.38044627755880356,0.6870407254906964,-0.38044627755880356,0.6870407254906964,0.040030855193013415,0.046199538349533276,1.1540982106621713,False,fail,lag_over_100ms
torso,stage1_torso_hint,mp_body.torso_height,fused.torso_height,1322,1.0,3.2780953802284785,0.9966827626471968,0.30404324677634287,0.04804125154409028,-0.17559058964252472,0.629375057053137,0.3219160810112953,-0.7943571099020377,0.0641403357764693,0.07449314218398326,1.1614086718160277,False,fail,low_correlation;lag_over_100ms;possible_sign_or_axis_inversion
torso,stage1_torso_hint,mp_body.torso_side_proxy,fused.torso_side_proxy,1322,1.0,5.014163464364817,1.205842675599773,0.24048730843531177,-0.12826053800897907,nan,nan,0.2633858844637871,-0.14921387611025363,0.03546602294966544,0.09551294905562402,2.693083157115732,False,fail,low_correlation;amplitude_mismatch
torso,stage1_torso_shape_raw_units,mp_world.shoulder_mid.z,fused.chest.loc.z,1316,0.9954614220877458,0.19841602351516485,0.9966827626471968,5.023196942413377,-0.12648064054388378,nan,nan,0.7607912421226501,-0.5651651951646454,0.0389978852752345,0.07449314218398326,1.910184146094966,False,fail,low_correlation;amplitude_mismatch
