kind,name,count,min,p50,p95,max,mean,total
sample_timing_ms,capture_to_enqueue_ms,1316,0.5667991936206818,0.9399019181728363,4.184624180197716,6.616801023483276,1.846943826253291,nan
sample_timing_ms,enqueue_to_worker_start_ms,1316,0.00790134072303772,13.731449842453003,31.172300688922405,49.452297389507294,14.85983199669235,nan
sample_timing_ms,native_process_ms,1316,31.561698764562607,35.20229831337929,42.778500355780125,83.16560089588165,36.061626788240076,nan
sample_timing_ms,get_landmarks_ms,1316,0.0017993152141571045,0.0034011900424957275,0.006098300218582153,0.053398311138153076,0.0038115664365443776,nan
sample_timing_ms,capture_to_publish_ms,1316,34.72910076379776,51.371149718761444,69.51842550188303,103.17230224609375,52.7753264227129,nan
sample_timing_ms,publish_to_sample_ms,1316,0.027000904083251953,17.09654927253723,35.17470136284828,130.83909824490547,18.07828928063706,nan
sample_timing_ms,capture_to_sample_ms,1316,38.42629864811897,76.64519920945168,91.97027701884508,170.70350050926208,70.85361570334996,nan
conditioning,source_video_fps,1316,30.0,30.0,30.0,30.0,30.0,nan
conditioning,mediapipe_output_fps,1316,0.0,25.81865406036377,29.04737138748169,29.84344482421875,25.414610459811783,nan
conditioning,unique_pose_timestamp_fps,1316,0.0,25.81865406036377,29.04737138748169,29.84344482421875,25.414610459811783,nan
conditioning,source_age_ms,1316,0.0,0.0,27.747047901153564,41.99080276489258,4.983239617391198,nan
conditioning,prediction_horizon_ms,1316,0.0,0.0,27.747047901153564,41.99080276489258,4.983239617391198,nan
conditioning,effective_added_latency_ms,1316,0.0,0.0,0.0,0.0,0.0,nan
conditioning,quality_score,1316,0.9356946349143982,0.9542274475097656,0.9674651324748993,0.9700308442115784,0.9546870190684194,nan
conditioning,mean_landmark_confidence,1316,0.9356946349143982,0.9542274475097656,0.9674651324748993,0.9700308442115784,0.9546870190684194,nan
conditioning,mean_landmark_jitter,1316,0.0,0.004279555752873421,0.04188350588083267,0.1045362800359726,0.009882908789504681,nan
conditioning,max_landmark_jitter,1316,0.0,0.010199593845754862,0.13679423928260803,0.4881552755832672,0.029229084112549465,nan
conditioning,whole_pose_spike_score,1316,0.0,0.0,0.0,0.0,0.0,nan
conditioning,root_pelvis_quality,1316,0.9979989528656006,0.9996576309204102,0.9998049437999725,0.9998935461044312,0.999606360327509,nan
conditioning,torso_spine_quality,1316,0.9975563287734985,0.9994341731071472,0.9997541606426239,0.9998772740364075,0.9993266043873181,nan
conditioning,head_neck_quality,1316,0.9987936615943909,0.999773383140564,0.9999399185180664,0.9999555349349976,0.9997613297769726,nan
conditioning,shoulder_clavicle_quality,1316,0.996265172958374,0.9993257522583008,0.9997707307338715,0.9998610019683838,0.9990468457295902,nan
conditioning,arms_quality,1316,0.9585416913032532,0.9769192337989807,0.9896830469369888,0.9945124983787537,0.977136179985971,nan
conditioning,hands_wrists_quality,1316,0.883698046207428,0.9399316310882568,0.9695073962211609,0.9763303995132446,0.9364008601403888,nan
conditioning,hips_quality,1316,0.9979989528656006,0.9996576309204102,0.9998049437999725,0.9998935461044312,0.999606360327509,nan
conditioning,legs_quality,1316,0.936420738697052,0.9680826663970947,0.9773538112640381,0.9813867211341858,0.9662647893635335,nan
conditioning,feet_ankles_quality,1316,0.7926232218742371,0.8590739965438843,0.8904370665550232,0.8990311622619629,0.8599072824314372,nan
pipeline_aggregate_ms,component_conversion,0.0,nan,nan,nan,0.0,nan,0.0
pipeline_aggregate_ms,component_readback_latency,0.0,nan,nan,nan,0.0,nan,0.0
pipeline_aggregate_ms,worker_queue_latency,1214.0,nan,nan,nan,49.452297389507294,15.014655182300721,18227.791391313076
pipeline_aggregate_ms,worker_native_process,1213.0,nan,nan,nan,83.16560089588165,35.925095091648366,43577.14034616947
pipeline_aggregate_ms,worker_get_landmarks,1213.0,nan,nan,nan,0.0036999990697950125,0.0011233305943174317,1.3626000109070446
