group,pair_kind,source,target,sample_count,valid_fraction,source_range_p95_p05,target_range_p95_p05,amplitude_ratio_target_over_source,corr_zero_lag,best_lag_seconds,corr_best_lag,best_abs_lag_seconds,corr_best_abs_lag,source_step95_standardized,target_step95_standardized,step95_ratio_target_over_source,measurement_only,stage_gate,mediapipe_advance_ms,flags
head,hmd_to_fused_head,hmd.loc.x,fused.head.loc.x,1328,1.0,15.725305008888188,16.31411188492099,1.0374432722099824,0.9389800984916536,0.0,0.9389800984916538,0.0,0.9389800984916538,0.055974705481707986,0.04208587950379207,0.7518731745278293,False,fail,71.0588,
head,hmd_to_fused_head,hmd.loc.y,fused.head.loc.y,1328,1.0,27.325129866600037,24.360987620529585,0.891523214691339,0.9911436952777962,0.0,0.9911436952777958,0.0,0.9911436952777958,0.02984521193397937,0.028160413162118304,0.9435487750736027,False,fail,71.0588,
head,hmd_to_fused_head,hmd.loc.z,fused.head.loc.z,1328,1.0,22.680631935596466,16.67717270312201,0.7353045872124827,0.9859079244578786,0.0,0.985907924457878,0.0,0.985907924457878,0.028732367966296343,0.030842764418503695,1.0734501400887977,False,fail,71.0588,
head,hmd_to_output_head,hmd.loc.z,manny.head.loc.z,1328,1.0,22.680631935596466,0.0,0.0,nan,nan,nan,nan,nan,0.028732367966296343,0.0,0.0,False,fail,71.0588,flat_target;low_correlation;amplitude_mismatch
head_mp_diagnostic,stage3_head_compare_only,mp_body.ear_mid.z,hmd.loc.z,1327,0.9992469879518072,48.85313970466689,22.680631935596466,0.4642615003397583,0.22516748478451765,0.6417854949831963,0.3183320632809476,0.6417854949831963,0.3183320632809476,0.007186921753570025,0.028732367966296343,3.9978684827094235,False,fail,71.0588,low_correlation;lag_over_100ms
head_mp_diagnostic,stage3_head_compare_only,mp_body.nose.z,hmd.loc.z,1327,0.9992469879518072,44.73677660169062,22.680631935596466,0.5069795738197945,0.30197638997091997,0.46351174637675285,0.39038186289322185,0.46351174637675285,0.39038186289322185,0.00896211452148668,0.028732367966296343,3.205980898526844,False,fail,71.0588,low_correlation;lag_over_100ms
head_mp_diagnostic,stage3_head_compare_only,mp_world.nose.z,hmd.loc.z,1322,0.9954819277108434,0.25677459789401474,22.680631935596466,88.32895512880145,0.1560239104247874,-0.7449225224554539,0.2617420193838483,-0.7449225224554539,0.2617420193838483,0.040048995812591026,0.028732367966296343,0.7174304219948296,False,fail,71.0588,low_correlation;lag_over_100ms;amplitude_mismatch
pelvis,output_verification,fused.pelvis.loc.z,manny.pelvis.loc.z,1328,1.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,False,fail,71.0588,flat_source;flat_target;low_correlation
pelvis,pelvis_compare_no_planar_follow,mp_body.hip_mid.x,fused.pelvis.loc.x,1327,0.9992469879518072,3.241848442755791,0.0,0.0,nan,nan,nan,nan,nan,0.04276664569222588,0.0,0.0,False,fail,71.0588,flat_target;low_correlation;amplitude_mismatch
pelvis,pelvis_compare_no_planar_follow,mp_body.hip_mid.y,fused.pelvis.loc.y,1327,0.9992469879518072,7.299974521003947,0.0,0.0,-0.005266238214420271,-0.2139284983277321,0.07463196434738979,-0.2139284983277321,0.07463196434738979,0.016914879505433217,0.0,0.0,False,fail,71.0588,flat_target;low_correlation;lag_over_100ms;amplitude_mismatch
pelvis,stage1_pelvis_shape_raw_units,mp_world.hip_mid.z,fused.pelvis.loc.z,1322,0.9954819277108434,0.00013708982623259708,0.0,0.0,nan,nan,nan,nan,nan,0.03503776285453286,0.0,0.0,False,fail,71.0588,flat_target;low_correlation;amplitude_mismatch
pelvis,stage1_pelvis_vertical_hint,mp_body.hip_mid.z,fused.pelvis.loc.z,1327,0.9992469879518072,0.06355706038599615,0.0,0.0,0.04534697990108587,-0.14261899888515472,0.04567278915807854,-0.32089274749159813,-0.0640398868397196,0.012220531110231123,0.0,0.0,False,fail,71.0588,flat_target;low_correlation;lag_over_100ms;amplitude_mismatch
shoulders,quest_shoulder_output_measure,quest.left.shoulder.z,fused.left.shoulder.z,1328,1.0,14.254347610473644,140.83071725011285,9.87984305550644,0.6583022710102019,-0.21396300941705704,0.7833700404437566,-0.21396300941705704,0.7833700404437566,0.032266202213043126,0.00329189388702988,0.10202297330484036,False,fail,71.0588,lag_over_100ms;amplitude_mismatch
shoulders,quest_shoulder_output_measure,quest.right.shoulder.z,fused.right.shoulder.z,1328,1.0,14.292823410034174,140.75612542272026,9.84802801970557,0.6617870386433264,-0.21396300941705704,0.7875315390879059,-0.21396300941705704,0.7875315390879059,0.03320587804257098,0.003388046336983837,0.10203152383563702,False,fail,71.0588,lag_over_100ms;amplitude_mismatch
shoulders,shoulder_conflict_measure,quest.left.shoulder.z,mp_body.left_shoulder.z,1327,0.9992469879518072,14.254347610473644,45.49387645919023,3.1915789976780675,0.06834436408141174,-0.7487497441470623,0.24263837733363272,-0.7487497441470623,0.24263837733363272,0.032266202213043126,0.005298476390892939,0.16421134275142893,False,fail,71.0588,low_correlation;lag_over_100ms
shoulders,shoulder_conflict_measure,quest.right.shoulder.z,mp_body.right_shoulder.z,1327,0.9992469879518072,14.292823410034174,27.86913698205692,1.9498692583364314,0.2675141239546846,-0.7487497441470623,0.43774500640247094,-0.7487497441470623,0.43774500640247094,0.03320587804257098,0.011250792158397652,0.3388192941012968,False,fail,71.0588,low_correlation;lag_over_100ms
shoulders,stage2_output_shoulder_compare,mp_body.left_shoulder_lift_from_hips,manny.clavicle_l_lift_from_pelvis,1327,0.9992469879518072,45.5397989643269,0.0,0.0,nan,nan,nan,nan,nan,0.0052913751730062075,0.0,0.0,False,fail,71.0588,flat_target;low_correlation;amplitude_mismatch
shoulders,stage2_output_shoulder_compare,mp_body.right_shoulder_lift_from_hips,manny.clavicle_r_lift_from_pelvis,1327,0.9992469879518072,27.914101373797802,0.0,0.0,nan,nan,nan,nan,nan,0.011204549629093688,0.0,0.0,False,fail,71.0588,flat_target;low_correlation;amplitude_mismatch
shoulders,stage2_shoulder_hint,mp_body.left_shoulder.z,fused.left.shoulder.z,1327,0.9992469879518072,45.49387645919023,140.83071725011285,3.0955972146370834,-0.04017023581718977,nan,nan,0.03565474972128868,-0.04818188174358853,0.005298476390892939,0.00329189388702988,0.6212906587048329,False,fail,71.0588,low_correlation
