kind,name,count,min,p50,p95,max,mean,total
sample_timing_ms,capture_to_enqueue_ms,1323,0.6433986127376556,0.9049996733665466,3.8667719811201087,5.459602922201157,1.7980192073438532,nan
sample_timing_ms,enqueue_to_worker_start_ms,1323,0.0073015689849853516,12.758996337652206,30.35637959837913,35.823702812194824,13.977773059567808,nan
sample_timing_ms,native_process_ms,1323,31.176399439573288,34.67699885368347,39.127192273736,56.95730075240135,35.107691342170185,nan
sample_timing_ms,get_landmarks_ms,1323,0.0016987323760986328,0.003300607204437256,0.005602836608886719,0.031501054763793945,0.0035879529522660097,nan
sample_timing_ms,capture_to_publish_ms,1323,32.35020115971565,49.30320009589195,67.59312264621258,75.23129880428314,50.889865357994765,nan
sample_timing_ms,publish_to_sample_ms,1323,-0.0034980475902557373,16.487199813127518,34.112951159477234,1362.3712994158268,18.465552270660236,nan
sample_timing_ms,capture_to_sample_ms,1323,39.321400225162506,75.87850093841553,87.34810948371887,1401.4823995530605,69.355417628655,nan
conditioning,source_video_fps,1323,30.0,30.0,30.0,30.0,30.0,nan
conditioning,mediapipe_output_fps,1323,0.0,26.426218032836914,29.479259872436522,30.1019229888916,25.75965196943968,nan
conditioning,unique_pose_timestamp_fps,1323,0.0,26.426218032836914,29.479259872436522,30.1019229888916,25.75965196943968,nan
conditioning,source_age_ms,1323,0.0,0.0,27.32419948577881,65.12279510498047,4.420053332120473,nan
conditioning,prediction_horizon_ms,1323,0.0,0.0,27.300870704650876,38.37351989746094,4.341403777727284,nan
conditioning,effective_added_latency_ms,1323,0.0,0.0,0.0,0.0,0.0,nan
conditioning,quality_score,1323,0.27296265959739685,0.9549545645713806,0.9634435772895813,0.9651840925216675,0.9261070689016099,nan
conditioning,mean_landmark_confidence,1323,0.7281987071037292,0.9549545645713806,0.9634435772895813,0.9651840925216675,0.930248409667343,nan
conditioning,mean_landmark_jitter,1323,0.0,0.005524038337171078,0.06376459449529648,1.4425952434539795,0.015849265072147876,nan
conditioning,max_landmark_jitter,1323,0.0,0.015270669013261795,0.3006541818380349,2.354870319366455,0.06652532782259897,nan
conditioning,whole_pose_spike_score,1323,0.0,0.0,0.0,1.0,0.008222757065732058,nan
conditioning,root_pelvis_quality,1323,0.9889060258865356,0.9988889098167419,0.9992818415164948,0.9995384216308594,0.9985305253340273,nan
conditioning,torso_spine_quality,1323,0.9851897954940796,0.9990949034690857,0.9994025528430939,0.9996066093444824,0.9985956693362397,nan
conditioning,head_neck_quality,1323,0.9799796342849731,0.998591423034668,0.9991249740123749,0.9995458722114563,0.9978695762761146,nan
conditioning,shoulder_clavicle_quality,1323,0.9806603193283081,0.9992836713790894,0.999679446220398,0.9998779296875,0.9986608121220307,nan
conditioning,arms_quality,1323,0.60265052318573,0.9761731028556824,0.9799813866615296,0.9827587604522705,0.9347538216854709,nan
conditioning,hands_wrists_quality,1323,0.18945473432540894,0.9315450191497803,0.9405636429786682,0.9489002227783203,0.8435425541771242,nan
conditioning,hips_quality,1323,0.9889060258865356,0.9988889098167419,0.9992818415164948,0.9995384216308594,0.9985305253340273,nan
conditioning,legs_quality,1323,0.8892066478729248,0.9789360165596008,0.9848500430583954,0.9860016703605652,0.9692016581829443,nan
conditioning,feet_ankles_quality,1323,0.7633113861083984,0.8737775683403015,0.8943560004234314,0.900693953037262,0.8651780500073192,nan
pipeline_aggregate_ms,component_conversion,0.0,nan,nan,nan,0.0,nan,0.0
pipeline_aggregate_ms,component_readback_latency,0.0,nan,nan,nan,0.0,nan,0.0
pipeline_aggregate_ms,worker_queue_latency,1254.0,nan,nan,nan,35.823702812194824,14.194696648506836,17800.149597227573
pipeline_aggregate_ms,worker_native_process,1254.0,nan,nan,nan,65.7115988433361,35.09642846846695,44010.92129945755
pipeline_aggregate_ms,worker_get_landmarks,1253.0,nan,nan,nan,0.0041000021155923605,0.0010675977853415585,1.337700025032973
