space,landmark,group,valid_samples,valid_fraction,reliability_p50,visibility_p50,presence_p50,x_range_p95_p05,y_range_p95_p05,z_range_p95_p05
mp_world,nose,head_mp_diagnostic,1316,0.9954614220877458,0.9783362150192261,0.978439599275589,0.978380560874939,0.047407292760908604,0.059983834624290466,0.2546844221651554
mp_world,left_eye_inner,head_mp_diagnostic,1316,0.9954614220877458,0.9782221615314484,0.978376030921936,0.9782974720001221,0.05124998069368303,0.056770890951156616,0.25978653505444527
mp_world,left_eye,head_mp_diagnostic,1316,0.9954614220877458,0.9782184660434723,0.9783708453178406,0.9782942831516266,0.05133961024694145,0.05672116577625275,0.2596840038895607
mp_world,left_eye_outer,head_mp_diagnostic,1316,0.9954614220877458,0.9782041311264038,0.9783725738525391,0.9782780706882477,0.051388306193985045,0.05674491822719574,0.25969104282557964
mp_world,right_eye_inner,head_mp_diagnostic,1316,0.9954614220877458,0.9782306551933289,0.9783735871315002,0.9782938063144684,0.0486025745049119,0.05686238408088684,0.2561971191316843
mp_world,right_eye,head_mp_diagnostic,1316,0.9954614220877458,0.9782292544841766,0.978370875120163,0.9782946407794952,0.048574876971542835,0.05681362748146057,0.2561107221990824
mp_world,right_eye_outer,head_mp_diagnostic,1316,0.9954614220877458,0.9782224297523499,0.9783764481544495,0.9782826602458954,0.04835917428135872,0.05667784810066223,0.256191099062562
mp_world,left_ear,head_mp_diagnostic,1316,0.9954614220877458,0.9780894815921783,0.9782673716545105,0.9782731235027313,0.06384471850469708,0.05511227250099182,0.25358962337486446
mp_world,right_ear,head_mp_diagnostic,1316,0.9954614220877458,0.9781655371189117,0.9783071279525757,0.9782879054546356,0.05000751651823521,0.04780152440071106,0.23692178493365645
mp_world,mouth_left,head_mp_diagnostic,1316,0.9954614220877458,0.9782325029373169,0.9783691167831421,0.9783123433589935,0.05211037362460047,0.050196573138237,0.25007387436926365
mp_world,mouth_right,head_mp_diagnostic,1316,0.9954614220877458,0.9782532751560211,0.9783701300621033,0.9783281981945038,0.04800724424421787,0.048916518688201904,0.24540727771818638
mp_world,left_shoulder,shoulders,1316,0.9954614220877458,0.9776383936405182,0.9782700836658478,0.9779112935066223,0.04672311991453171,0.04241682589054108,0.20123132108710706
mp_world,right_shoulder,shoulders,1316,0.9954614220877458,0.9777916073799133,0.9782127141952515,0.9780640602111816,0.04826929792761803,0.03215821087360382,0.18814678443595767
mp_world,left_elbow,arms_measure_only,1316,0.9954614220877458,0.9489702582359314,0.950038343667984,0.9770056903362274,0.16635597497224808,0.34136495739221573,0.19418027251958847
mp_world,right_elbow,arms_measure_only,1316,0.9954614220877458,0.9444642663002014,0.9454177916049957,0.9772735834121704,0.20839408785104752,0.318747878074646,0.23624462820589542
mp_world,left_wrist,arms_measure_only,1316,0.9954614220877458,0.9306595325469971,0.9330441951751709,0.9755759239196777,0.345155443996191,0.7014623545110226,0.294790867716074
mp_world,right_wrist,arms_measure_only,1316,0.9954614220877458,0.9300650358200073,0.9320543706417084,0.9767312407493591,0.4458886981010437,0.6642004874302074,0.27374761551618576
mp_world,left_pinky,arms_measure_only,1316,0.9954614220877458,0.8925252556800842,0.8960631191730499,0.9734756052494049,0.3902020715177059,0.8000765221659094,0.3116935081779957
mp_world,right_pinky,arms_measure_only,1316,0.9954614220877458,0.898920089006424,0.9013743698596954,0.9750868678092957,0.5192916616797447,0.7635310161858797,0.286171518266201
mp_world,left_index,arms_measure_only,1316,0.9954614220877458,0.8936107456684113,0.8955558240413666,0.9738686680793762,0.39865175634622574,0.819948618998751,0.2697916105389595
mp_world,right_index,arms_measure_only,1316,0.9954614220877458,0.9032689034938812,0.9053871631622314,0.9752694666385651,0.5227373410016298,0.7631339486688375,0.247308649122715
mp_world,left_thumb,arms_measure_only,1316,0.9954614220877458,0.8909177184104919,0.8928245306015015,0.9747809767723083,0.35707588493824005,0.7277040993794799,0.28455013781785965
mp_world,right_thumb,arms_measure_only,1316,0.9954614220877458,0.8982819616794586,0.9005250036716461,0.9759792983531952,0.45978716015815735,0.6784606911242008,0.2624598406255245
mp_world,left_hip,pelvis,1316,0.9954614220877458,0.9780921041965485,0.9782233536243439,0.9783102571964264,0.005724966526031494,0.013289618742419407,0.014790424262173474
mp_world,right_hip,pelvis,1316,0.9954614220877458,0.9781046509742737,0.9782203137874603,0.978325217962265,0.005675291642546654,0.013378457282669842,0.014712250558659434
mp_world,left_knee,lower_body_measure_only,1316,0.9954614220877458,0.9345654249191284,0.9354183375835419,0.9775934815406799,0.04246062599122524,0.015442177653312683,0.10635651112534106
mp_world,right_knee,lower_body_measure_only,1316,0.9954614220877458,0.9389417469501495,0.9394579231739044,0.9778368473052979,0.02221348136663437,0.023647472262382507,0.11114439857192338
mp_world,left_ankle,lower_body_measure_only,1316,0.9954614220877458,0.9157453775405884,0.9178134202957153,0.9754060208797455,0.06596984155476093,0.0572119802236557,0.19123192317783833
mp_world,right_ankle,lower_body_measure_only,1316,0.9954614220877458,0.9285858571529388,0.9301056861877441,0.9757785499095917,0.037678379099816084,0.06446854770183563,0.19120626151561737
mp_world,left_heel,lower_body_measure_only,1316,0.9954614220877458,0.6567101776599884,0.6595631837844849,0.9735190570354462,0.06763972900807858,0.06057991087436676,0.20000202395021915
mp_world,right_heel,lower_body_measure_only,1316,0.9954614220877458,0.7254046499729156,0.7278309166431427,0.9743607044219971,0.040330830961465836,0.06772184371948242,0.20050761103630066
mp_world,left_foot_index,arms_measure_only,1316,0.9954614220877458,0.890760064125061,0.9016702175140381,0.9652808904647827,0.0660332627594471,0.05427005887031555,0.20167627328191884
mp_world,right_foot_index,arms_measure_only,1316,0.9954614220877458,0.9050125479698181,0.9167093336582184,0.9658750593662262,0.04621983505785465,0.06111447513103485,0.20192148070782423
mp_norm,nose,head_mp_diagnostic,1316,0.9954614220877458,0.9783362150192261,0.978439599275589,0.978380560874939,0.023940175771713257,0.012960962951183319,0.540465772151947
mp_norm,left_eye_inner,head_mp_diagnostic,1316,0.9954614220877458,0.9782221615314484,0.978376030921936,0.9782974720001221,0.019634664058685303,0.01194155216217041,0.5466529838740826
mp_norm,left_eye,head_mp_diagnostic,1316,0.9954614220877458,0.9782184660434723,0.9783708453178406,0.9782942831516266,0.019071266055107117,0.01211123913526535,0.5467543937265873
mp_norm,left_eye_outer,head_mp_diagnostic,1316,0.9954614220877458,0.9782041311264038,0.9783725738525391,0.9782780706882477,0.01870143413543701,0.01224961131811142,0.5469960384070873
mp_norm,right_eye_inner,head_mp_diagnostic,1316,0.9954614220877458,0.9782306551933289,0.9783735871315002,0.9782938063144684,0.0159451961517334,0.01203533262014389,0.5469896793365479
mp_norm,right_eye,head_mp_diagnostic,1316,0.9954614220877458,0.9782292544841766,0.978370875120163,0.9782946407794952,0.014400452375411987,0.012027382850646973,0.5471237190067768
mp_norm,right_eye_outer,head_mp_diagnostic,1316,0.9954614220877458,0.9782224297523499,0.9783764481544495,0.9782826602458954,0.01383131742477417,0.011909596621990204,0.5471953339874744
mp_norm,left_ear,head_mp_diagnostic,1316,0.9954614220877458,0.9780894815921783,0.9782673716545105,0.9782731235027313,0.017628371715545654,0.01211441308259964,0.5060197268612683
mp_norm,right_ear,head_mp_diagnostic,1316,0.9954614220877458,0.9781655371189117,0.9783071279525757,0.9782879054546356,0.011055052280426025,0.010851085186004639,0.5044720117002726
mp_norm,mouth_left,head_mp_diagnostic,1316,0.9954614220877458,0.9782325029373169,0.9783691167831421,0.9783123433589935,0.024319693446159363,0.010570108890533447,0.5188607685267925
mp_norm,mouth_right,head_mp_diagnostic,1316,0.9954614220877458,0.9782532751560211,0.9783701300621033,0.9783281981945038,0.024237915873527527,0.01139676570892334,0.5198715440928936
mp_norm,left_shoulder,shoulders,1316,0.9954614220877458,0.9776383936405182,0.9782700836658478,0.9779112935066223,0.03659483790397644,0.013605356216430664,0.39758817479014397
mp_norm,right_shoulder,shoulders,1316,0.9954614220877458,0.9777916073799133,0.9782127141952515,0.9780640602111816,0.026082701981067657,0.018103517591953278,0.3813123758882284
mp_norm,left_elbow,arms_measure_only,1316,0.9954614220877458,0.9489702582359314,0.950038343667984,0.9770056903362274,0.10303832590579987,0.11942946165800095,0.36279989406466484
mp_norm,right_elbow,arms_measure_only,1316,0.9954614220877458,0.9444642663002014,0.9454177916049957,0.9772735834121704,0.13323932141065598,0.1056525856256485,0.46489202976226807
mp_norm,left_wrist,arms_measure_only,1316,0.9954614220877458,0.9306595325469971,0.9330441951751709,0.9755759239196777,0.20529405772686005,0.23780877143144608,0.6499602384865284
mp_norm,right_wrist,arms_measure_only,1316,0.9954614220877458,0.9300650358200073,0.9320543706417084,0.9767312407493591,0.2797849029302597,0.215591162443161,0.6574267148971558
mp_norm,left_pinky,arms_measure_only,1316,0.9954614220877458,0.8925252556800842,0.8960631191730499,0.9734756052494049,0.2342958152294159,0.2700001448392868,0.7055229842662811
mp_norm,right_pinky,arms_measure_only,1316,0.9954614220877458,0.898920089006424,0.9013743698596954,0.9750868678092957,0.3210597075521946,0.2569301724433899,0.7039267346262932
mp_norm,left_index,arms_measure_only,1316,0.9954614220877458,0.8936107456684113,0.8955558240413666,0.9738686680793762,0.24088996648788452,0.27480819821357727,0.6277305856347084
mp_norm,right_index,arms_measure_only,1316,0.9954614220877458,0.9032689034938812,0.9053871631622314,0.9752694666385651,0.3225410208106041,0.26041028648614883,0.6304125487804413
mp_norm,left_thumb,arms_measure_only,1316,0.9954614220877458,0.8909177184104919,0.8928245306015015,0.9747809767723083,0.23209412395954132,0.2638259381055832,0.6333552114665508
mp_norm,right_thumb,arms_measure_only,1316,0.9954614220877458,0.8982819616794586,0.9005250036716461,0.9759792983531952,0.31051045283675194,0.24537572264671326,0.6386227011680603
mp_norm,left_hip,pelvis,1316,0.9954614220877458,0.9780921041965485,0.9782233536243439,0.9783102571964264,0.011790871620178223,0.011420756578445435,0.0340461665764451
mp_norm,right_hip,pelvis,1316,0.9954614220877458,0.9781046509742737,0.9782203137874603,0.978325217962265,0.013322606682777405,0.00988095998764038,0.03402584418654442
mp_norm,left_knee,lower_body_measure_only,1316,0.9954614220877458,0.9345654249191284,0.9354183375835419,0.9775934815406799,0.009677261114120483,0.006493672728538513,0.22511602565646172
mp_norm,right_knee,lower_body_measure_only,1316,0.9954614220877458,0.9389417469501495,0.9394579231739044,0.9778368473052979,0.01469661295413971,0.007021129131317139,0.2236470446223393
mp_norm,left_ankle,lower_body_measure_only,1316,0.9954614220877458,0.9157453775405884,0.9178134202957153,0.9754060208797455,0.023510411381721497,0.006900370121002197,0.38492830097675323
